04-Jul-2007 21:04:04

NINT_EXACTNESS_TET
  MATLAB version

  Investigate the polynomial exactness of a quadrature
  rule for the tetrahedron by integrating all monomials
  of a given degree.

  The rule will be adjusted to the unit tetrahedron.

NINT_EXACTNESS_TET: User input:
  Quadrature rule X file = "keast6_x.txt".
  Quadrature rule W file = "keast6_w.txt".
  Quadrature rule R file = "keast6_r.txt".
  Maximum total degree to check = 9
  Spatial dimension = 3
  Number of points  = 15

      Error    Degree  Exponents

        0.000000    0   0 0 0

        0.000000    1   1 0 0
        0.000000    1   0 1 0
        0.000000    1   0 0 1

        0.000000    2   2 0 0
        0.000000    2   1 1 0
        0.000000    2   0 2 0
        0.000000    2   1 0 1
        0.000000    2   0 1 1
        0.000000    2   0 0 2

        0.000000    3   3 0 0
        0.000000    3   2 1 0
        0.000000    3   1 2 0
        0.000000    3   0 3 0
        0.000000    3   2 0 1
        0.000000    3   1 1 1
        0.000000    3   0 2 1
        0.000000    3   1 0 2
        0.000000    3   0 1 2
        0.000000    3   0 0 3

        0.000000    4   4 0 0
        0.000000    4   3 1 0
        0.000000    4   2 2 0
        0.000000    4   1 3 0
        0.000000    4   0 4 0
        0.000000    4   3 0 1
        0.000000    4   2 1 1
        0.000000    4   1 2 1
        0.000000    4   0 3 1
        0.000000    4   2 0 2
        0.000000    4   1 1 2
        0.000000    4   0 2 2
        0.000000    4   1 0 3
        0.000000    4   0 1 3
        0.000000    4   0 0 4

        0.000000    5   5 0 0
        0.000000    5   4 1 0
        0.000000    5   3 2 0
        0.000000    5   2 3 0
        0.000000    5   1 4 0
        0.000000    5   0 5 0
        0.000000    5   4 0 1
        0.000000    5   3 1 1
        0.000000    5   2 2 1
        0.000000    5   1 3 1
        0.000000    5   0 4 1
        0.000000    5   3 0 2
        0.000000    5   2 1 2
        0.000000    5   1 2 2
        0.000000    5   0 3 2
        0.000000    5   2 0 3
        0.000000    5   1 1 3
        0.000000    5   0 2 3
        0.000000    5   1 0 4
        0.000000    5   0 1 4
        0.000000    5   0 0 5

        0.005485    6   6 0 0
        0.010970    6   5 1 0
        0.036823    6   4 2 0
        0.051719    6   3 3 0
        0.036823    6   2 4 0
        0.010970    6   1 5 0
        0.005485    6   0 6 0
        0.010970    6   5 0 1
        0.009397    6   4 1 1
        0.003934    6   3 2 1
        0.003934    6   2 3 1
        0.009397    6   1 4 1
        0.010970    6   0 5 1
        0.036823    6   4 0 2
        0.003934    6   3 1 2
        0.006337    6   2 2 2
        0.003934    6   1 3 2
        0.036823    6   0 4 2
        0.051719    6   3 0 3
        0.003934    6   2 1 3
        0.003934    6   1 2 3
        0.051719    6   0 3 3
        0.036823    6   2 0 4
        0.009397    6   1 1 4
        0.036823    6   0 2 4
        0.010970    6   1 0 5
        0.010970    6   0 1 5
        0.005485    6   0 0 6

        0.022408    7   7 0 0
        0.034001    7   6 1 0
        0.093642    7   5 2 0
        0.054660    7   4 3 0
        0.054660    7   3 4 0
        0.093642    7   2 5 0
        0.034001    7   1 6 0
        0.022408    7   0 7 0
        0.034001    7   6 0 1
        0.046491    7   5 1 1
        0.031997    7   4 2 1
        0.039956    7   3 3 1
        0.031997    7   2 4 1
        0.046491    7   1 5 1
        0.034001    7   0 6 1
        0.093642    7   5 0 2
        0.031997    7   4 1 2
        0.000897    7   3 2 2
        0.000897    7   2 3 2
        0.031997    7   1 4 2
        0.093642    7   0 5 2
        0.054660    7   4 0 3
        0.039956    7   3 1 3
        0.000897    7   2 2 3
        0.039956    7   1 3 3
        0.054660    7   0 4 3
        0.054660    7   3 0 4
        0.031997    7   2 1 4
        0.031997    7   1 2 4
        0.054660    7   0 3 4
        0.093642    7   2 0 5
        0.046491    7   1 1 5
        0.093642    7   0 2 5
        0.034001    7   1 0 6
        0.034001    7   0 1 6
        0.022408    7   0 0 7

        0.053972    8   8 0 0
        0.061765    8   7 1 0
        0.145392    8   6 2 0
        0.010351    8   5 3 0
        0.137707    8   4 4 0
        0.010351    8   3 5 0
        0.145392    8   2 6 0
        0.061765    8   1 7 0
        0.053972    8   0 8 0
        0.061765    8   7 0 1
        0.116220    8   6 1 1
        0.063330    8   5 2 1
        0.051093    8   4 3 1
        0.051093    8   3 4 1
        0.063330    8   2 5 1
        0.116220    8   1 6 1
        0.061765    8   0 7 1
        0.145392    8   6 0 2
        0.063330    8   5 1 2
        0.056588    8   4 2 2
        0.032674    8   3 3 2
        0.056588    8   2 4 2
        0.063330    8   1 5 2
        0.145392    8   0 6 2
        0.010351    8   5 0 3
        0.051093    8   4 1 3
        0.032674    8   3 2 3
        0.032674    8   2 3 3
        0.051093    8   1 4 3
        0.010351    8   0 5 3
        0.137707    8   4 0 4
        0.051093    8   3 1 4
        0.056588    8   2 2 4
        0.051093    8   1 3 4
        0.137707    8   0 4 4
        0.010351    8   3 0 5
        0.063330    8   2 1 5
        0.063330    8   1 2 5
        0.010351    8   0 3 5
        0.145392    8   2 0 6
        0.116220    8   1 1 6
        0.145392    8   0 2 6
        0.061765    8   1 0 7
        0.061765    8   0 1 7
        0.053972    8   0 0 8

        0.100238    9   9 0 0
        0.084823    9   8 1 0
        0.178968    9   7 2 0
        0.115027    9   6 3 0
        0.136108    9   5 4 0
        0.136108    9   4 5 0
        0.115027    9   3 6 0
        0.178968    9   2 7 0
        0.084823    9   1 8 0
        0.100238    9   0 9 0
        0.084823    9   8 0 1
        0.210265    9   7 1 1
        0.073423    9   6 2 1
        0.010758    9   5 3 1
        0.145699    9   4 4 1
        0.010758    9   3 5 1
        0.073423    9   2 6 1
        0.210265    9   1 7 1
        0.084823    9   0 8 1
        0.178968    9   7 0 2
        0.073423    9   6 1 2
        0.135012    9   5 2 2
        0.013674    9   4 3 2
        0.013674    9   3 4 2
        0.135012    9   2 5 2
        0.073423    9   1 6 2
        0.178968    9   0 7 2
        0.115027    9   6 0 3
        0.010758    9   5 1 3
        0.013674    9   4 2 3
        0.094930    9   3 3 3
        0.013674    9   2 4 3
        0.010758    9   1 5 3
        0.115027    9   0 6 3
        0.136108    9   5 0 4
        0.145699    9   4 1 4
        0.013674    9   3 2 4
        0.013674    9   2 3 4
        0.145699    9   1 4 4
        0.136108    9   0 5 4
        0.136108    9   4 0 5
        0.010758    9   3 1 5
        0.135012    9   2 2 5
        0.010758    9   1 3 5
        0.136108    9   0 4 5
        0.115027    9   3 0 6
        0.073423    9   2 1 6
        0.073423    9   1 2 6
        0.115027    9   0 3 6
        0.178968    9   2 0 7
        0.210265    9   1 1 7
        0.178968    9   0 2 7
        0.084823    9   1 0 8
        0.084823    9   0 1 8
        0.100238    9   0 0 9


NINT_EXACTNESS_TET:
  Normal end of execution.

04-Jul-2007 21:04:04
